Disease	Gene	Category
Multiple sclerosis	SPATA48	Neurological
Multiple sclerosis	Camk2g	Neurological
Multiple sclerosis	Card11	Neurological
Multiple sclerosis	Casp8	Neurological
Multiple sclerosis	Cbfa2t3	Neurological
Multiple sclerosis	Cblb	Neurological
Multiple sclerosis	Cbln2	Neurological
Multiple sclerosis	Ccdc12	Neurological
Multiple sclerosis	Ccl22	Neurological
Multiple sclerosis	Ccr4	Neurological
Multiple sclerosis	Cd2	Neurological
Multiple sclerosis	Cd200r1	Neurological
Multiple sclerosis	Cd226	Neurological
Multiple sclerosis	CD27-AS1	Neurological
Multiple sclerosis	Cd28	Neurological
Multiple sclerosis	Cd40	Neurological
Multiple sclerosis	Cd48	Neurological
Multiple sclerosis	Cd5	Neurological
Multiple sclerosis	CD58	Neurological
Multiple sclerosis	Cd6	Neurological
Multiple sclerosis	Cd69	Neurological
Multiple sclerosis	Cd86	Neurological
Multiple sclerosis	Cdc37	Neurological
Multiple sclerosis	Cdh3	Neurological
Multiple sclerosis	Cdhr3	Neurological
Multiple sclerosis	CDKN2B-AS1	Neurological
Multiple sclerosis	Cenpc1	Neurological
Multiple sclerosis	Cenpo	Neurological
Multiple sclerosis	Chd7	Neurological
Multiple sclerosis	Chst12	Neurological
Multiple sclerosis	Cldn7	Neurological
Multiple sclerosis	Clec16a	Neurological
Multiple sclerosis	Clec2i	Neurological
Multiple sclerosis	CLECL1	Neurological
Multiple sclerosis	Clstn2	Neurological
Multiple sclerosis	Cmc1	Neurological
Multiple sclerosis	Cnr2	Neurological
Multiple sclerosis	Cog6	Neurological
Multiple sclerosis	CR1L	Neurological
Multiple sclerosis	Crtap	Neurological
Multiple sclerosis	Csf2rb2	Neurological
Multiple sclerosis	Csgalnact2	Neurological
Multiple sclerosis	Csmd1	Neurological
Multiple sclerosis	Ctsh	Neurological
Multiple sclerosis	Cuedc1	Neurological
Multiple sclerosis	Cxcr4	Neurological
Multiple sclerosis	Cxcr5	Neurological
Multiple sclerosis	Cyp24a1	Neurological
Multiple sclerosis	Cyp27b1	Neurological
Multiple sclerosis	BRINP1 /// CCAR2	Neurological
Multiple sclerosis	Ddah1	Neurological
Multiple sclerosis	Asap2	Neurological
Multiple sclerosis	Ddx6	Neurological
Multiple sclerosis	Diras2	Neurological
Multiple sclerosis	Dkkl1	Neurological
Multiple sclerosis	DLEU1	Neurological
Multiple sclerosis	Dll4	Neurological
Multiple sclerosis	Dnmt3a	Neurological
Multiple sclerosis	Dock10	Neurological
Multiple sclerosis	Dpp4	Neurological
Multiple sclerosis	DQA1	Neurological
Multiple sclerosis	Drap1	Neurological
Multiple sclerosis	Rbm45	Neurological
Multiple sclerosis	Dsc1	Neurological
Multiple sclerosis	Egfl6	Neurological
Multiple sclerosis	Elmo1	Neurological
Multiple sclerosis	En1	Neurological
Multiple sclerosis	Enthd1	Neurological
Multiple sclerosis	Eomes	Neurological
Multiple sclerosis	Eppk1	Neurological
Multiple sclerosis	Eps15l1	Neurological
Multiple sclerosis	Erg	Neurological
Multiple sclerosis	Espn	Neurological
Multiple sclerosis	Ets1	Neurological
Multiple sclerosis	ETV3L	Neurological
Multiple sclerosis	ETV7	Neurological
Multiple sclerosis	Evi5	Neurological
Multiple sclerosis	Exoc2	Neurological
Multiple sclerosis	Extl2	Neurological
Multiple sclerosis	Fam167a	Neurological
Multiple sclerosis	FAM167A-AS1	Neurological
Multiple sclerosis	Fam167b	Neurological
Multiple sclerosis	Prxl2b	Neurological
Multiple sclerosis	Fam221b	Neurological
Multiple sclerosis	Dipk1a	Neurological
Multiple sclerosis	Fam71b	Neurological
Multiple sclerosis	Fam76b	Neurological
Multiple sclerosis	Fbxo45	Neurological
Multiple sclerosis	Fbxo48	Neurological
Multiple sclerosis	FCRL1	Neurological
Multiple sclerosis	FCRL3	Neurological
Multiple sclerosis	0610040J01Rik	Neurological
Multiple sclerosis	LINC01185	Neurological
Multiple sclerosis	Lekr1	Neurological
Multiple sclerosis	FLJ34870	Neurological
